rank, word, score, target
1,69005,0.284239,Marseille
2,aix,0.272410,Marseille
3,75009,0.244149,Marseille
4,75014,0.120006,Marseille
5,york,0.113673,Marseille
6,75005,0.066400,Marseille
7,75011,0.056222,Marseille
8,golfe,0.052742,Marseille
9,15e,0.049732,Marseille
10,munich,0.040038,Marseille
11,1896,0.029163,Marseille
12,1683,0.027356,Marseille
13,75006,-0.004602,Marseille
14,1921,-0.008795,Marseille
15,1909,-0.010430,Marseille
16,1860,-0.011046,Marseille
17,12e,-0.011846,Marseille
18,1942,-0.018588,Marseille
19,1943,-0.022166,Marseille
20,olga,-0.024951,Marseille
21,1938,-0.025783,Marseille
22,1901,-0.027323,Marseille
23,1927,-0.027760,Marseille
24,1935,-0.030165,Marseille
25,1886,-0.030351,Marseille
26,1897,-0.030894,Marseille
27,1934,-0.031825,Marseille
28,1888,-0.031948,Marseille
29,10e,-0.034187,Marseille
30,17e,-0.034807,Marseille
31,1892,-0.038791,Marseille
32,1931,-0.043685,Marseille
33,1887,-0.043936,Marseille
34,1936,-0.043973,Marseille
35,1859,-0.044058,Marseille
36,1854,-0.044504,Marseille
37,1855,-0.045178,Marseille
38,1879,-0.046238,Marseille
39,1928,-0.047689,Marseille
40,1893,-0.048449,Marseille
41,17h45,-0.050760,Marseille
42,1906,-0.051514,Marseille
43,1884,-0.053570,Marseille
44,1685,-0.054677,Marseille
45,1889,-0.055490,Marseille
46,1862,-0.056764,Marseille
47,1904,-0.057031,Marseille
48,1924,-0.057425,Marseille
49,1894,-0.058357,Marseille
50,1907,-0.059380,Marseille
51,niqab,-0.060234,Marseille
52,1908,-0.062754,Marseille
53,1898,-0.063358,Marseille
54,1899,-0.066667,Marseille
55,1895,-0.068571,Marseille
56,1941,-0.068633,Marseille
57,1912,-0.068984,Marseille
58,1864,-0.068995,Marseille
59,1903,-0.069436,Marseille
60,1932,-0.069558,Marseille
61,1877,-0.070902,Marseille
62,1669,-0.071171,Marseille
63,1786,-0.074355,Marseille
64,1937,-0.075051,Marseille
65,1923,-0.076847,Marseille
66,1805,-0.078941,Marseille
67,1099,-0.079146,Marseille
68,1431,-0.079461,Marseille
