rank, score, target
1,69005,0.417466,Marseille
2,aix,0.321703,Marseille
3,75009,0.313900,Marseille
4,75014,0.170946,Marseille
5,york,0.137782,Marseille
6,15e,0.110380,Marseille
7,75005,0.097734,Marseille
8,1896,0.088915,Marseille
9,1683,0.079913,Marseille
10,75011,0.075595,Marseille
11,golfe,0.061126,Marseille
12,munich,0.052219,Marseille
13,75006,-0.006184,Marseille
14,1921,-0.025761,Marseille
15,12e,-0.025960,Marseille
16,1909,-0.030800,Marseille
17,1860,-0.032481,Marseille
18,olga,-0.037750,Marseille
19,1942,-0.048151,Marseille
20,1943,-0.057289,Marseille
21,17e,-0.070130,Marseille
22,niqab,-0.072573,Marseille
23,1938,-0.074052,Marseille
24,10e,-0.074420,Marseille
25,1901,-0.075650,Marseille
26,1927,-0.082325,Marseille
27,ehpad,-0.087094,Marseille
28,1935,-0.087289,Marseille
29,1886,-0.092100,Marseille
30,1934,-0.092391,Marseille
31,1897,-0.093528,Marseille
32,1888,-0.097147,Marseille
33,1892,-0.117451,Marseille
34,genève,-0.124590,Marseille
35,city,-0.125129,Marseille
36,1936,-0.126437,Marseille
37,1931,-0.128869,Marseille
38,1859,-0.130857,Marseille
39,1854,-0.131613,Marseille
40,kosovo,-0.132030,Marseille
41,1855,-0.133534,Marseille
42,1887,-0.133558,Marseille
43,djihad,-0.134490,Marseille
44,17h45,-0.136683,Marseille
45,1879,-0.140321,Marseille
46,1928,-0.141307,Marseille
47,kalachnikov,-0.145538,Marseille
48,1893,-0.146572,Marseille
49,rugby,-0.151255,Marseille
50,19e,-0.154026,Marseille
51,1906,-0.155615,Marseille
52,1685,-0.158155,Marseille
53,1884,-0.162651,Marseille
54,kaboul,-0.164659,Marseille
55,città,-0.165390,Marseille
56,1924,-0.167835,Marseille
57,1889,-0.168056,Marseille
58,clubs,-0.168470,Marseille
59,1862,-0.168529,Marseille
60,turc,-0.169842,Marseille
61,18e,-0.171059,Marseille
62,1904,-0.172010,Marseille
63,burke,-0.172990,Marseille
64,1907,-0.175354,Marseille
65,oppidum,-0.176280,Marseille
66,turin,-0.176716,Marseille
67,1894,-0.176744,Marseille
68,afp,-0.180382,Marseille
69,puy,-0.181333,Marseille
70,2024,-0.181807,Marseille
71,1908,-0.184760,Marseille
72,1941,-0.185426,Marseille
73,godefroy,-0.188622,Marseille
74,1898,-0.191760,Marseille
75,hijab,-0.191873,Marseille
76,vézelay,-0.192249,Marseille
77,rudolf,-0.195611,Marseille
78,lys,-0.195701,Marseille
79,tags,-0.195768,Marseille
80,hérault,-0.196599,Marseille
81,1912,-0.201617,Marseille
82,1899,-0.201765,Marseille
83,roma,-0.203008,Marseille
84,1864,-0.204166,Marseille
85,1932,-0.205461,Marseille
86,1895,-0.207578,Marseille
87,1669,-0.208137,Marseille
88,genova,-0.208813,Marseille
89,kiev,-0.209585,Marseille
90,1903,-0.211324,Marseille
91,flics,-0.213392,Marseille
92,1877,-0.214771,Marseille
93,1937,-0.215817,Marseille
94,1786,-0.216931,Marseille
95,eiffel,-0.219859,Marseille
96,scudo,-0.220385,Marseille
97,nuova,-0.223272,Marseille
98,îlot,-0.224290,Marseille
99,1923,-0.224533,Marseille
100,km2,-0.224753,Marseille
1,djihad,0.323477,violence
2,gangs,0.307933,violence
3,furia,0.133885,violence
4,péguy,0.061955,violence
5,olga,0.052450,violence
6,viol,0.051336,violence
7,boxe,0.046209,violence
8,grève,0.037623,violence
9,zaghawa,0.014616,violence
10,blood,0.004210,violence
11,violence,0.000000,violence
12,niqab,-0.002496,violence
13,sève,-0.029535,violence
14,fléau,-0.034684,violence
15,taxe,-0.035773,violence
16,zona,-0.044845,violence
17,lgbt,-0.045566,violence
18,skinhead,-0.046893,violence
19,flics,-0.055463,violence
20,girl,-0.064846,violence
21,pitié,-0.067005,violence
22,music,-0.068001,violence
23,aiguë,-0.074378,violence
24,tags,-0.083557,violence
25,gaza,-0.084005,violence
26,wisdom,-0.090625,violence
27,welt,-0.092465,violence
28,law,-0.092857,violence
29,duty,-0.095519,violence
30,gay,-0.099422,violence
31,rudolf,-0.101877,violence
32,israël,-0.104984,violence
33,fight,-0.105931,violence
34,fuoco,-0.106511,violence
35,lys,-0.109627,violence
36,punk,-0.110202,violence
37,myths,-0.111545,violence
38,abus,-0.113944,violence
39,fsspx,-0.114200,violence
40,sfida,-0.121799,violence
41,healthy,-0.133631,violence
42,goods,-0.140053,violence
43,viols,-0.145591,violence
44,kalachnikov,-0.145890,violence
45,boycott,-0.150367,violence
46,omerta,-0.150652,violence
47,hijab,-0.160083,violence
48,myself,-0.164427,violence
49,islam,-0.165856,violence
50,ccif,-0.170239,violence
51,kosovo,-0.172259,violence
52,racket,-0.173039,violence
53,cruauté,-0.182118,violence
54,laws,-0.201617,violence
55,punks,-0.203202,violence
56,world,-0.205936,violence
57,péché,-0.211851,violence
58,tchad,-0.215515,violence
59,god,-0.215967,violence
60,lotta,-0.217168,violence
61,luxe,-0.220109,violence
62,works,-0.220324,violence
63,school,-0.221965,violence
64,fear,-0.227196,violence
65,study,-0.229415,violence
66,alcool,-0.230047,violence
67,rap,-0.233065,violence
68,ruse,-0.234273,violence
69,shock,-0.238291,violence
